CALENDARYEAR,NAICSID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,Majority,male_frac,female_frac,abo_frac,pwd_frac,vis_frac,maj_frac,female_abo_frac,female_pwd_frac,female_vis_frac
1997,0.0,65679.0,40002.0,25677.0,986.0,609.0,377.0,637.0,411.0,226.0,7964.0,4864.0,3100.0,64056.0,0.6090531220024665,0.39094687799753347,0.015012408836918954,0.0096986860335876,0.12125641377000258,0.9752889051294934,0.0057400386729396,0.0034409780904094155,0.04719925699234154
1998,0.0,81015.0,47525.0,33490.0,1121.0,644.0,477.0,732.0,439.0,293.0,9047.0,5101.0,3946.0,79162.0,0.5866197617725113,0.41338023822748876,0.01383694377584398,0.009035363821514535,0.11167067826945627,0.9771276924026415,0.005887798555822996,0.0036166142072455716,0.04870702956242671
1999,0.0,76465.0,46198.0,30267.0,1123.0,689.0,434.0,696.0,444.0,252.0,8024.0,4763.0,3261.0,74646.0,0.6041718433270123,0.39582815667298765,0.01468645785653567,0.009102203622572419,0.10493689923494409,0.9762113385208919,0.005675799385339698,0.0032956254495520826,0.042646962662656114
2000,0.0,103609.0,63560.0,40049.0,1633.0,994.0,639.0,1000.0,656.0,344.0,12389.0,7297.0,5092.0,100976.0,0.6134602206372033,0.38653977936279665,0.015761179048152187,0.009651671186866006,0.11957455433408294,0.9745871497649818,0.006167417888407378,0.003320174888281906,0.049146309683521704
2001,0.0,106909.0,63620.0,43289.0,1795.0,1116.0,679.0,1273.0,797.0,476.0,13583.0,8057.0,5526.0,103841.0,0.5950855400387245,0.40491445996127545,0.01678998026358866,0.01190732305044477,0.12705197878569624,0.9713026966859666,0.0063511958768672425,0.004452384738422396,0.051688819463281854
2002,0.0,82058.0,50672.0,31386.0,1544.0,1004.0,540.0,811.0,544.0,267.0,10559.0,6385.0,4174.0,79703.0,0.6175144410051427,0.3824855589948573,0.01881595944332058,0.009883253308635355,0.1286772770479417,0.971300787248044,0.006580711204270151,0.0032537960954446853,0.050866460308562234
2003,0.0,78039.0,49504.0,28535.0,1495.0,967.0,528.0,840.0,532.0,308.0,10265.0,6564.0,3701.0,75704.0,0.6343494919207063,0.36565050807929367,0.019157088122605363,0.010763848844808365,0.13153679570471175,0.9700790630325863,0.006765847845308115,0.003946744576429734,0.04742500544599495
2004,0.0,97686.0,60659.0,37027.0,1712.0,1010.0,702.0,1103.0,678.0,425.0,13869.0,8688.0,5181.0,94871.0,0.6209589910529656,0.37904100894703435,0.017525541019183917,0.011291280224392441,0.1419753086419753,0.9711831787564237,0.007186290768380321,0.004350674610486661,0.05303728272219151
2005,0.0,109266.0,68987.0,40279.0,2194.0,1415.0,779.0,1281.0,839.0,442.0,16445.0,10361.0,6084.0,105791.0,0.6313674885142679,0.36863251148573206,0.020079439166803947,0.011723683488001757,0.1505042739736057,0.9681968773451943,0.0071293906613219115,0.004045174162136437,0.05568063258470155
2006,0.0,131902.0,82933.0,48969.0,2653.0,1635.0,1018.0,1686.0,972.0,714.0,22004.0,14186.0,7818.0,127563.0,0.6287471001197859,0.3712528998802141,0.020113417537262514,0.012782217100574669,0.16682082151900654,0.9671043653621628,0.007717851131900957,0.0054131097329835785,0.059271277160315994
