CALENDARYEAR,NAICSID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,Majority,male_frac,female_frac,abo_frac,pwd_frac,vis_frac,maj_frac,female_abo_frac,female_pwd_frac,female_vis_frac
1997,0.0,69084.0,40187.0,28897.0,1160.0,686.0,474.0,1476.0,864.0,612.0,6821.0,3965.0,2856.0,66448.0,0.581712118580279,0.4182878814197209,0.016791152799490474,0.02136529442417926,0.09873487348734873,0.9618435527763303,0.006861212437033177,0.008858780614903595,0.04134097620288345
1998,0.0,75961.0,44436.0,31525.0,1126.0,635.0,491.0,1520.0,864.0,656.0,8261.0,4584.0,3677.0,73315.0,0.584984399889417,0.4150156001105831,0.014823396216479509,0.02001026842721923,0.1087531759718803,0.9651663353563013,0.006463843288003054,0.008636010584378826,0.04840641908347705
1999,0.0,73538.0,43589.0,29949.0,1121.0,653.0,468.0,1482.0,907.0,575.0,7175.0,4095.0,3080.0,70935.0,0.5927411678315972,0.40725883216840275,0.015243819521879844,0.020152846147569965,0.09756860398705432,0.9646033343305502,0.006364056678179989,0.007819086730669857,0.041883108052979415
2000,0.0,94632.0,55624.0,39008.0,1459.0,841.0,618.0,1803.0,1108.0,695.0,10393.0,5869.0,4524.0,91370.0,0.5877927128244146,0.4122072871755854,0.015417617719164764,0.019052751711894498,0.10982542903034914,0.9655296305689407,0.006530560486938879,0.007344238735311523,0.047806238904387524
2001,0.0,90978.0,55283.0,35695.0,1533.0,902.0,631.0,1732.0,1110.0,622.0,9711.0,5639.0,4072.0,87713.0,0.6076523994811932,0.39234760051880674,0.01685022752753413,0.019037569522302095,0.10674009101101366,0.9641122029501638,0.006935742707028072,0.006836817692189321,0.044758073380377676
2002,0.0,85911.0,52035.0,33876.0,1645.0,1049.0,596.0,1718.0,1078.0,640.0,9502.0,5784.0,3718.0,82548.0,0.6056849530327898,0.39431504696721026,0.019147722643200523,0.01999743921034559,0.11060283316455402,0.9608548381464539,0.0069374119728556295,0.007449569903737589,0.043277345159525554
2003,0.0,81959.0,49622.0,32337.0,1572.0,960.0,612.0,1569.0,983.0,586.0,9681.0,5895.0,3786.0,78818.0,0.6054490659964128,0.39455093400358715,0.0191803218682512,0.019143718200563698,0.11812003562756988,0.9616759599311852,0.007467148208250467,0.0071499164216254464,0.04619382862162789
2004,0.0,84624.0,52559.0,32065.0,1551.0,917.0,634.0,1636.0,991.0,645.0,11011.0,6766.0,4245.0,81437.0,0.6210885800718472,0.37891141992815275,0.018328133862733974,0.0193325770467007,0.13011675174891285,0.9623392890905653,0.007491964454528266,0.007621951219512195,0.050163074305161655
2005,0.0,103511.0,64139.0,39372.0,2014.0,1263.0,751.0,2121.0,1289.0,832.0,14784.0,9014.0,5770.0,99376.0,0.6196346282037658,0.3803653717962342,0.01945686931823671,0.02049057588082426,0.14282540019901266,0.960052554800939,0.007255267556105148,0.00803779308479292,0.0557428679077586
2006,0.0,113025.0,70189.0,42836.0,2567.0,1639.0,928.0,2473.0,1451.0,1022.0,17089.0,10741.0,6348.0,107985.0,0.6210042026100421,0.378995797389958,0.022711789427117893,0.02188011501880115,0.1511966379119664,0.9554080955540809,0.008210572882105728,0.009042247290422472,0.05616456536164565
2007,0.0,126303.0,78915.0,47388.0,2727.0,1652.0,1075.0,2731.0,1568.0,1163.0,19194.0,11803.0,7391.0,120845.0,0.6248070117099356,0.37519298829006437,0.02159093608227833,0.021622605955519663,0.1519678867485333,0.956786457962202,0.00851127843360807,0.009208015644917382,0.058518008281671856
2008,0.0,129888.0,81473.0,48415.0,2740.0,1659.0,1081.0,2762.0,1590.0,1172.0,20751.0,13009.0,7742.0,124386.0,0.6272557896033506,0.3727442103966494,0.02109509731460951,0.021264474008376447,0.15976071692535107,0.957640428677014,0.008322554816457255,0.009023158413402316,0.05960519832471052
2009,0.0,106479.0,66506.0,39973.0,2425.0,1506.0,919.0,2513.0,1400.0,1113.0,16935.0,10436.0,6499.0,101541.0,0.6245926426807163,0.3754073573192836,0.02277444378703782,0.023600897829618987,0.15904544558081876,0.9536246583833432,0.008630809831046497,0.010452765334009522,0.06103550934926136
2010,0.0,107600.0,66868.0,40732.0,2430.0,1501.0,929.0,2538.0,1473.0,1065.0,17633.0,10908.0,6725.0,102632.0,0.6214498141263941,0.37855018587360595,0.02258364312267658,0.023587360594795537,0.16387546468401487,0.9538289962825279,0.008633828996282528,0.009897769516728624,0.0625
2011,0.0,118543.0,76003.0,42540.0,2825.0,1776.0,1049.0,2980.0,1761.0,1219.0,20676.0,13422.0,7254.0,112738.0,0.6411428764245886,0.35885712357541144,0.023831014905983484,0.025138557316754257,0.17441772183933257,0.9510304277772622,0.008849109605797052,0.010283188378900483,0.061192984824072275
2012,0.0,113550.0,71666.0,41884.0,2849.0,1787.0,1062.0,2665.0,1542.0,1123.0,20107.0,12811.0,7296.0,108036.0,0.6311404667547336,0.3688595332452664,0.025090268604139147,0.023469837076177894,0.17707617789520036,0.951439894319683,0.009352708058124175,0.009889916336415675,0.06425363276089828
2013,0.0,109655.0,68728.0,40927.0,2836.0,1754.0,1082.0,2822.0,1591.0,1231.0,20535.0,13087.0,7448.0,103997.0,0.626765765354977,0.37323423464502303,0.025862933746751172,0.025735260590032373,0.1872691623728968,0.9484018056632164,0.00986731111212439,0.011226118280060189,0.06792211937440153
2014,0.0,111313.0,70169.0,41144.0,2910.0,1813.0,1097.0,2791.0,1595.0,1196.0,22554.0,14741.0,7813.0,105612.0,0.6303756075211341,0.3696243924788659,0.026142499079173143,0.02507344155669149,0.20261784337858113,0.9487840593641353,0.00985509329548211,0.010744477284773566,0.07018946574074907
2015,0.0,124344.0,76747.0,47597.0,3139.0,1820.0,1319.0,3470.0,1910.0,1560.0,26729.0,17042.0,9687.0,117735.0,0.6172151450813871,0.38278485491861286,0.02524448304703082,0.027906453065688733,0.2149601106607476,0.9468490638872804,0.010607669047159493,0.012545840571318278,0.07790484462458985
