CALENDARYEAR,NAICSID,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,Majority,male_frac,female_frac,abo_frac,pwd_frac,vis_frac,maj_frac,female_abo_frac,female_pwd_frac,female_vis_frac
1997,65756,58478.0,25265.0,33213.0,855.0,388.0,467.0,1077.0,507.0,570.0,8205.0,3328.0,4877.0,55797.0,24467.0,31330.0,819.0,379.0,440.0,1028.0,496.0,532.0,8005.0,3386.0,4619.0,53950.0,0.4385002777927129,0.5614997222072872,0.014678208505833647,0.018423929601949926,0.1434664946144058,0.9668978618922164,0.007885728623402692,0.009534562790114163,0.08278222843522053
1998,64216,68508.0,30066.0,38442.0,1019.0,456.0,563.0,1268.0,646.0,622.0,9593.0,3950.0,5643.0,62782.0,28488.0,34294.0,930.0,428.0,502.0,1114.0,597.0,517.0,8957.0,3834.0,5124.0,60738.0,0.45376063202828837,0.5462393679717117,0.014813163008505622,0.017743939345672328,0.1426682807174031,0.967442897645822,0.007995922398139595,0.008234844382147749,0.08161574973718581
1999,66270,55002.0,25382.0,29620.0,792.0,340.0,452.0,1026.0,550.0,476.0,7776.0,3369.0,4407.0,51989.0,24003.0,27986.0,739.0,322.0,417.0,979.0,526.0,453.0,7320.0,3171.0,4149.0,50271.0,0.461693819846506,0.538306180153494,0.014214545384600588,0.018830906537921483,0.1407990151762873,0.9669545480774779,0.008020927503895055,0.008713381676893188,0.07980534343803497
2000,74156,64683.0,30197.0,34486.0,955.0,430.0,525.0,1216.0,629.0,587.0,9350.0,4220.0,5130.0,60726.0,28348.0,32378.0,874.0,392.0,482.0,1137.0,592.0,545.0,8735.0,3927.0,4810.0,58715.0,0.4668181668478082,0.5331818331521918,0.014392517208444488,0.01872344629977275,0.14384283502947667,0.9668840364917828,0.007937292098936205,0.00897473899153575,0.07920824687942561
2001,72537,53626.0,25265.0,28361.0,841.0,418.0,423.0,1020.0,535.0,485.0,7843.0,3412.0,4431.0,50728.0,23798.0,26930.0,791.0,392.0,399.0,978.0,514.0,464.0,7413.0,3221.0,4192.0,48959.0,0.46912947484623874,0.5308705251537612,0.01559296640908374,0.01927929348683173,0.1461323135152184,0.9651277401040845,0.007865478631130737,0.009146822267781107,0.08263680807443621
2002,68158,44204.0,20646.0,23558.0,772.0,413.0,359.0,863.0,454.0,409.0,6723.0,2957.0,3766.0,42432.0,19814.0,22618.0,722.0,379.0,343.0,820.0,429.0,391.0,6485.0,2853.0,3632.0,40890.0,0.46695889894419307,0.5330411010558069,0.01701546003016591,0.01932503770739065,0.15283276772247362,0.9636595022624435,0.008083521870286577,0.00921474358974359,0.08559577677224736
2003,70012,43083.0,20432.0,22651.0,728.0,385.0,343.0,815.0,437.0,378.0,7072.0,3267.0,3805.0,41103.0,19479.0,21624.0,689.0,366.0,323.0,786.0,424.0,362.0,6765.0,3132.0,3633.0,39628.0,0.47390701408656305,0.526092985913437,0.016762766708026178,0.01912269177432304,0.16458652653091016,0.9641145415176507,0.007858307179524609,0.008807143030922317,0.08838770892635574
2004,671237,43378.0,20851.0,22527.0,810.0,435.0,375.0,848.0,408.0,440.0,8561.0,3979.0,4582.0,41628.0,19979.0,21649.0,738.0,386.0,352.0,819.0,390.0,429.0,8225.0,3808.0,4417.0,40071.0,0.4799413856058422,0.5200586143941578,0.01772845200345921,0.019674257711155954,0.19758335735562602,0.9625972902853849,0.008455847026040166,0.010305563562986451,0.10610646680119151
2005,647017,48538.0,23600.0,24938.0,938.0,516.0,422.0,944.0,488.0,456.0,9858.0,4562.0,5296.0,46178.0,22488.0,23690.0,829.0,435.0,394.0,897.0,467.0,430.0,9353.0,4346.0,5007.0,44452.0,0.4869851444410758,0.5130148555589241,0.01795227164450604,0.019424834336697127,0.2025423361774005,0.9626228940187969,0.008532201481224825,0.009311793494737755,0.1084282558794231
2006,685930,57823.0,27218.0,30605.0,1077.0,545.0,532.0,1284.0,588.0,696.0,11909.0,5338.0,6571.0,54142.0,25629.0,28513.0,1001.0,506.0,495.0,1198.0,550.0,648.0,11165.0,5057.0,6108.0,51943.0,0.47336633297624764,0.5266336670237524,0.018488419341731004,0.02212699937202172,0.2062169849654612,0.9593845812862473,0.00914262494920764,0.011968527206235455,0.11281445088840457
