,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
33,1507953 Ontario Inc. (Inactive),2015,Full-Time,Provincial,Ontario,Overall,126,107,19,0,2,14
79,1507953 Ontario Inc. (Inactive),2015,Part-Time,Provincial,Ontario,Overall,4,4,0,0,0,0
97,1641-9749 Québec Inc (Inactive),2015,Full-Time,Provincial,Québec,Overall,233,220,13,0,2,3
112,1641-9749 Québec Inc (Inactive),2015,Part-Time,Provincial,Québec,Overall,11,10,1,1,0,0
163,4186397 Canada Inc.,2015,Full-Time,Provincial,British Columbia,Overall,202,184,18,6,5,17
192,4186397 Canada Inc.,2015,Full-Time,Provincial,Alberta,Overall,283,223,60,7,10,16
349,4186397 Canada Inc.,2015,Part-Time,Provincial,British Columbia,Overall,10,5,5,0,0,1
358,4186397 Canada Inc.,2015,Part-Time,Provincial,Alberta,Overall,9,2,7,0,0,1
431,591182 Ontario Ltd.,2015,Full-Time,Provincial,Ontario,Overall,179,166,13,2,2,14
469,591182 Ontario Ltd.,2015,Part-Time,Provincial,Ontario,Overall,28,27,1,3,0,1
531,6422217 Canada Inc.,2015,Full-Time,Provincial,Ontario,Overall,168,118,50,4,2,53
630,6422217 Canada Inc.,2015,Part-Time,Provincial,Ontario,Overall,9,8,1,0,0,4
685,"7922825 Canada Inc., DBA NETRICOM (Inactive)",2015,Full-Time,Provincial,Québec,Overall,89,79,10,0,0,4
804,9736140 Canada Inc.,2015,Full-Time,Provincial,Québec,Overall,121,93,28,2,0,10
911,9736140 Canada Inc.,2015,Part-Time,Provincial,Québec,Overall,15,11,4,0,0,1
962,A.J. Bus Lines Ltd.,2015,Full-Time,Provincial,Ontario,Overall,29,17,12,1,3,1
988,A.J. Bus Lines Ltd.,2015,Part-Time,Provincial,Ontario,Overall,124,46,78,10,3,0
1084,Access Communications Co-operative Limited,2015,Full-Time,Provincial,Saskatchewan,Overall,197,139,58,8,6,21
1207,Access Communications Co-operative Limited,2015,Part-Time,Provincial,Saskatchewan,Overall,82,36,46,2,2,21
1340,ADM Agri-Industries Ltd.,2015,Full-Time,Provincial,Ontario,Overall,210,177,33,8,15,17
1393,ADM Agri-Industries Ltd.,2015,Full-Time,Provincial,Alberta,Overall,181,141,40,10,4,38
1455,ADM Agri-Industries Ltd.,2015,Part-Time,Provincial,Ontario,Overall,4,2,2,0,0,0
1468,ADM Agri-Industries Ltd.,2015,Part-Time,Provincial,Alberta,Overall,4,2,2,0,0,1
1526,Administration portuaire de Montréal,2015,Full-Time,Provincial,Québec,Overall,241,171,70,0,1,6
1661,Aéroports de Montréal,2015,Full-Time,Provincial,Québec,Overall,660,494,166,5,21,47
1764,Aéroports de Montréal,2015,Part-Time,Provincial,Québec,Overall,15,6,9,0,2,6
