CALENDARYEAR,Overall,Senior
1997,47.75115595,43.7661221
1998,44.09539251,43.3557869
1999,41.86819831,46.08662614
2000,44.49341867,41.95821186
2001,43.41690188,47.63365469
2002,44.79570101,47.77479893
2003,41.6536156,44.26133019
2004,29.47661893,35.78322197
2005,33.67110915,35.40937719
2006,31.42826158,35.26187576
2007,33.06468495,33.71699391
2008,33.12807882,33.77192982
2009,31.22207622,32.14285714
2010,34.27731184,31.15360888
2011,32.43487427,36.74863388
2012,31.14787374,36.97318008
2013,31.59881203,34.30609598
2014,31.72214716,37.71067416
2015,33.25400802,35.14084507
2016,32.14997071,36.91080493
2017,30.86636994,35.61037318
2018,31.0698973,37.69322235
2019,30.63893016,38.85480573
